,Unnamed: 0,email,gender,visitorId,stepId,questionId,answerValue,answerId,answerTypeId,question,answer,Cluster,Cluster_Theme
10,78,daniela.p+150_YhiF@bss.com.mk,0,67b44fef197e604dd2722d3d,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f7323c,Answer,Which of the following best describes your job function?,Formation of tourist products,2.0,Travel Industry Services
11,81,daniela.p+150_YhiF@bss.com.mk,0,67b44fef197e604dd2722d3d,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
12,86,daniela.p+150_YhiF@bss.com.mk,0,67b44fef197e604dd2722d3d,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f7336f,Answer,What role do you play in the purchasing decision making process?,Joint responsibility,2.0,Travel Industry Services
13,87,daniela.p+150_YhiF@bss.com.mk,0,67b44fef197e604dd2722d3d,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f73372,,5c8a78336d41a10da4f73373,Answer,What is your company's annual purchasing budget?,Up to 1 million rubles,2.0,Travel Industry Services
14,103,tanja+182_jiPa@bss.com.mk,0,67b45018197e604dd2722d3e,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73101,Answer,Reason for Attending the Event,To promote products and services,2.0,Travel Industry Services
15,112,tanja+182_jiPa@bss.com.mk,0,67b45018197e604dd2722d3e,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
16,117,tanja+182_jiPa@bss.com.mk,0,67b45018197e604dd2722d3e,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73370,Answer,What role do you play in the purchasing decision making process?,Advisory role,2.0,Travel Industry Services
17,133,aleksandar.dimkov+mitt10_V0iB@bss.com.mk,1,67b5f1392d21f543a10965f1,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,0.0,Tourism Services
18,140,aleksandar.dimkov+mitt10_V0iB@bss.com.mk,1,67b5f1392d21f543a10965f1,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f7323b,Answer,Which of the following best describes your job function?,Visa support,0.0,Tourism Services
19,141,aleksandar.dimkov+mitt10_V0iB@bss.com.mk,1,67b5f1392d21f543a10965f1,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73290,Answer,Please indicate your company's main area of business,Tour Operator,0.0,Tourism Services
20,146,aleksandar.dimkov+mitt10_V0iB@bss.com.mk,1,67b5f1392d21f543a10965f1,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f7336f,Answer,What role do you play in the purchasing decision making process?,Joint responsibility,0.0,Tourism Services
21,147,aleksandar.dimkov+mitt10_V0iB@bss.com.mk,1,67b5f1392d21f543a10965f1,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f73372,,5c8a78336d41a10da4f73373,Answer,What is your company's annual purchasing budget?,Up to 1 million rubles,0.0,Tourism Services
22,163,3990147_SeNs@gmail.com,1,67b5e0f7774d9e718c7541db,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,0.0,Tourism Services
23,173,3990147_SeNs@gmail.com,1,67b5e0f7774d9e718c7541db,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73290,Answer,Please indicate your company's main area of business,Tour Operator,0.0,Tourism Services
24,180,3990147_SeNs@gmail.com,1,67b5e0f7774d9e718c7541db,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73371,Answer,What role do you play in the purchasing decision making process?,No influence,0.0,Tourism Services
25,195,tanja+182_Ahsx@bss.mk,1,67b45356197e604dd2722d43,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73101,Answer,Reason for Attending the Event,To promote products and services,2.0,Travel Industry Services
26,203,tanja+182_Ahsx@bss.mk,1,67b45356197e604dd2722d43,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73293,Answer,Please indicate your company's main area of business,IT solutions for travel industry,2.0,Travel Industry Services
27,205,tanja+182_Ahsx@bss.mk,1,67b45356197e604dd2722d43,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f7336e,Answer,What role do you play in the purchasing decision making process?,Sole responsibility,2.0,Travel Industry Services
28,206,tanja+182_Ahsx@bss.mk,1,67b45356197e604dd2722d43,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f73372,,5c8a78336d41a10da4f73374,Answer,What is your company's annual purchasing budget?,1 - 5 million rubles,2.0,Travel Industry Services
29,222,daniela.p+201_Fwae@bss.com.mk,1,67b47874197e604dd2722d6f,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73101,Answer,Reason for Attending the Event,To promote products and services,0.0,Tourism Services
30,228,daniela.p+201_Fwae@bss.com.mk,1,67b47874197e604dd2722d6f,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f7323b,Answer,Which of the following best describes your job function?,Visa support,0.0,Tourism Services
31,230,daniela.p+201_Fwae@bss.com.mk,1,67b47874197e604dd2722d6f,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73290,Answer,Please indicate your company's main area of business,Tour Operator,0.0,Tourism Services
32,234,daniela.p+201_Fwae@bss.com.mk,1,67b47874197e604dd2722d6f,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f7336e,Answer,What role do you play in the purchasing decision making process?,Sole responsibility,0.0,Tourism Services
33,235,daniela.p+201_Fwae@bss.com.mk,1,67b47874197e604dd2722d6f,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f73372,,5c8a78336d41a10da4f73373,Answer,What is your company's annual purchasing budget?,Up to 1 million rubles,0.0,Tourism Services
34,251,tanja+202_99oJ@bss.mk,0,67b708f32d21f543a10965fa,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,2.0,Travel Industry Services
35,258,tanja+202_99oJ@bss.mk,0,67b708f32d21f543a10965fa,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f7323c,Answer,Which of the following best describes your job function?,Formation of tourist products,2.0,Travel Industry Services
36,259,tanja+202_99oJ@bss.mk,0,67b708f32d21f543a10965fa,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73292,Answer,Please indicate your company's main area of business,Accommodation Provider,2.0,Travel Industry Services
37,263,tanja+202_99oJ@bss.mk,0,67b708f32d21f543a10965fa,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f7336f,Answer,What role do you play in the purchasing decision making process?,Joint responsibility,2.0,Travel Industry Services
38,264,tanja+202_99oJ@bss.mk,0,67b708f32d21f543a10965fa,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f73372,,5c8a78336d41a10da4f73374,Answer,What is your company's annual purchasing budget?,1 - 5 million rubles,2.0,Travel Industry Services
39,280,emilija+3_CmwU@bss.com.mk,0,67b46946197e604dd2722d5d,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73100,Answer,Reason for Attending the Event,To obtain general information,2.0,Travel Industry Services
40,288,emilija+3_CmwU@bss.com.mk,0,67b46946197e604dd2722d5d,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
41,295,emilija+3_CmwU@bss.com.mk,0,67b46946197e604dd2722d5d,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73371,Answer,What role do you play in the purchasing decision making process?,No influence,2.0,Travel Industry Services
42,311,tatjana+182_N1PC@bss.mk,0,67b46049197e604dd2722d4a,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73101,Answer,Reason for Attending the Event,To promote products and services,2.0,Travel Industry Services
43,322,tatjana+182_N1PC@bss.mk,0,67b46049197e604dd2722d4a,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
44,326,tatjana+182_N1PC@bss.mk,0,67b46049197e604dd2722d4a,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73370,Answer,What role do you play in the purchasing decision making process?,Advisory role,2.0,Travel Industry Services
45,342,emilija+2_02Wi@bss.com.mk,0,67b46590197e604dd2722d5a,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,2.0,Travel Industry Services
46,354,emilija+2_02Wi@bss.com.mk,0,67b46590197e604dd2722d5a,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
47,359,emilija+2_02Wi@bss.com.mk,0,67b46590197e604dd2722d5a,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73371,Answer,What role do you play in the purchasing decision making process?,No influence,2.0,Travel Industry Services
48,376,daniela.p+200_IzcX@bss.com.mk,0,67b47714197e604dd2722d69,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73100,Answer,Reason for Attending the Event,To obtain general information,2.0,Travel Industry Services
49,381,daniela.p+200_IzcX@bss.com.mk,0,67b47714197e604dd2722d69,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f7323d,Answer,Which of the following best describes your job function?,Guided tour services,2.0,Travel Industry Services
50,383,daniela.p+200_IzcX@bss.com.mk,0,67b47714197e604dd2722d69,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
51,388,daniela.p+200_IzcX@bss.com.mk,0,67b47714197e604dd2722d69,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73370,Answer,What role do you play in the purchasing decision making process?,Advisory role,2.0,Travel Industry Services
52,407,emilija+100_zbmO@bss.com.mk,0,67b47738197e604dd2722d6b,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,2.0,Travel Industry Services
53,412,emilija+100_zbmO@bss.com.mk,0,67b47738197e604dd2722d6b,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73244,Answer,Which of the following best describes your job function?,Media,2.0,Travel Industry Services
54,413,emilija+100_zbmO@bss.com.mk,0,67b47738197e604dd2722d6b,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
55,420,emilija+100_zbmO@bss.com.mk,0,67b47738197e604dd2722d6b,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73371,Answer,What role do you play in the purchasing decision making process?,No influence,2.0,Travel Industry Services
56,437,aleksandar.dimkov+mb1_Xc8j@bss.com.mk,1,67b484a9197e604dd2722d72,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73100,Answer,Reason for Attending the Event,To obtain general information,1.0,Event Management
57,440,aleksandar.dimkov+mb1_Xc8j@bss.com.mk,1,67b484a9197e604dd2722d72,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73228,Answer,Which of the following best describes your job function?,Sales,1.0,Event Management
58,443,aleksandar.dimkov+mb1_Xc8j@bss.com.mk,1,67b484a9197e604dd2722d72,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73294,Answer,Please indicate your company's main area of business,Event management,1.0,Event Management
59,446,aleksandar.dimkov+mb1_Xc8j@bss.com.mk,1,67b484a9197e604dd2722d72,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73370,Answer,What role do you play in the purchasing decision making process?,Advisory role,1.0,Event Management
60,462,daniela.p+203_NfBj@bss.com.mk,0,67b70e142d21f543a1096609,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73102,Answer,Reason for Attending the Event,Educational purposes ,0.0,Tourism Services
61,469,daniela.p+203_NfBj@bss.com.mk,0,67b70e142d21f543a1096609,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f7323b,Answer,Which of the following best describes your job function?,Visa support,0.0,Tourism Services
62,471,daniela.p+203_NfBj@bss.com.mk,0,67b70e142d21f543a1096609,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73290,Answer,Please indicate your company's main area of business,Tour Operator,0.0,Tourism Services
63,476,daniela.p+203_NfBj@bss.com.mk,0,67b70e142d21f543a1096609,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73370,Answer,What role do you play in the purchasing decision making process?,Advisory role,0.0,Tourism Services
64,491,emilija+101_jj3C@bss.com.mk,0,67b709442d21f543a10965fe,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73100,Answer,Reason for Attending the Event,To obtain general information,2.0,Travel Industry Services
65,499,emilija+101_jj3C@bss.com.mk,0,67b709442d21f543a10965fe,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73228,Answer,Which of the following best describes your job function?,Sales,2.0,Travel Industry Services
66,500,emilija+101_jj3C@bss.com.mk,0,67b709442d21f543a10965fe,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
67,506,emilija+101_jj3C@bss.com.mk,0,67b709442d21f543a10965fe,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73371,Answer,What role do you play in the purchasing decision making process?,No influence,2.0,Travel Industry Services
68,522,daniela.p+202_Rw2b@bss.com.mk,0,67b70c7a2d21f543a1096605,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,2.0,Travel Industry Services
69,529,daniela.p+202_Rw2b@bss.com.mk,0,67b70c7a2d21f543a1096605,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73229,Answer,Which of the following best describes your job function?,Marketing,2.0,Travel Industry Services
70,531,daniela.p+202_Rw2b@bss.com.mk,0,67b70c7a2d21f543a1096605,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
71,537,daniela.p+202_Rw2b@bss.com.mk,0,67b70c7a2d21f543a1096605,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f7336f,Answer,What role do you play in the purchasing decision making process?,Joint responsibility,2.0,Travel Industry Services
72,538,daniela.p+202_Rw2b@bss.com.mk,0,67b70c7a2d21f543a1096605,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f73372,,5c8a78336d41a10da4f73373,Answer,What is your company's annual purchasing budget?,Up to 1 million rubles,2.0,Travel Industry Services
73,554,daniela.p+151_o4q3@bss.com.mk,0,67b45942197e604dd2722d45,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73103,Answer,Reason for Attending the Event,Personal interest,,No responses provided.
74,569,emilija_x3WF@bss.com.mk,0,67b461e3197e604dd2722d4e,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73103,Answer,Reason for Attending the Event,Personal interest,,No responses provided.
75,589,emilija+01_I7vH@bss.com.mk,0,67b46415197e604dd2722d55,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,2.0,Travel Industry Services
76,596,emilija+01_I7vH@bss.com.mk,0,67b46415197e604dd2722d55,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
77,601,emilija+01_I7vH@bss.com.mk,0,67b46415197e604dd2722d55,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73371,Answer,What role do you play in the purchasing decision making process?,No influence,2.0,Travel Industry Services
78,617,sergey.usenko_ucwx@ite.group,0,67b5e25c774d9e718c7541de,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73103,Answer,Reason for Attending the Event,Personal interest,,No responses provided.
79,632,tanja+242_B3fl@bss.com.mk,0,67bcb979966b8de398095c90,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,2.0,Travel Industry Services
80,638,tanja+242_B3fl@bss.com.mk,0,67bcb979966b8de398095c90,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73228,Answer,Which of the following best describes your job function?,Sales,2.0,Travel Industry Services
81,639,tanja+242_B3fl@bss.com.mk,0,67bcb979966b8de398095c90,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
82,646,tanja+242_B3fl@bss.com.mk,0,67bcb979966b8de398095c90,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f7336f,Answer,What role do you play in the purchasing decision making process?,Joint responsibility,2.0,Travel Industry Services
83,647,tanja+242_B3fl@bss.com.mk,0,67bcb979966b8de398095c90,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f73372,,5c8a78336d41a10da4f73374,Answer,What is your company's annual purchasing budget?,1 - 5 million rubles,2.0,Travel Industry Services
84,663,sergey.usenko_ucwx_ar23@ite.group,1,8lgk75oddjwupbeoh3j4r1rx,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73103,Answer,Reason for Attending the Event,Personal interest,,No responses provided.
85,680,emilija+100_L8gA_Ur8T@bss.mk,0,fs2j657x3gpu9hs8v3vuvgz0,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73100,Answer,Reason for Attending the Event,To obtain general information,2.0,Travel Industry Services
86,686,emilija+100_L8gA_Ur8T@bss.mk,0,fs2j657x3gpu9hs8v3vuvgz0,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73244,Answer,Which of the following best describes your job function?,Media,2.0,Travel Industry Services
87,689,emilija+100_L8gA_Ur8T@bss.mk,0,fs2j657x3gpu9hs8v3vuvgz0,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
88,697,emilija+100_L8gA_Ur8T@bss.mk,0,fs2j657x3gpu9hs8v3vuvgz0,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73371,Answer,What role do you play in the purchasing decision making process?,No influence,2.0,Travel Industry Services
89,712,emilija_x3WF_SgHa@bss.com.mk,1,vf4ns9sm2nfsdesl31l9rgc5,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73103,Answer,Reason for Attending the Event,Personal interest,,No responses provided.
90,730,aleksandar.dimkov+mb1_Xc8j_kuh8@bss.com.mk,0,xodwfemcnbuqzq632xnlrxt6,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73100,Answer,Reason for Attending the Event,To obtain general information,1.0,Event Management
91,733,aleksandar.dimkov+mb1_Xc8j_kuh8@bss.com.mk,0,xodwfemcnbuqzq632xnlrxt6,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73228,Answer,Which of the following best describes your job function?,Sales,1.0,Event Management
92,736,aleksandar.dimkov+mb1_Xc8j_kuh8@bss.com.mk,0,xodwfemcnbuqzq632xnlrxt6,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73294,Answer,Please indicate your company's main area of business,Event management,1.0,Event Management
93,739,aleksandar.dimkov+mb1_Xc8j_kuh8@bss.com.mk,0,xodwfemcnbuqzq632xnlrxt6,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73370,Answer,What role do you play in the purchasing decision making process?,Advisory role,1.0,Event Management
94,755,tanja+182_jiPa_jNR0@bss.com.mk,1,fi1h2gygfcwed97ls0e0c31v,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f73101,Answer,Reason for Attending the Event,To promote products and services,2.0,Travel Industry Services
95,764,tanja+182_jiPa_jNR0@bss.com.mk,1,fi1h2gygfcwed97ls0e0c31v,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
96,769,tanja+182_jiPa_jNR0@bss.com.mk,1,fi1h2gygfcwed97ls0e0c31v,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f73370,Answer,What role do you play in the purchasing decision making process?,Advisory role,2.0,Travel Industry Services
97,785,daniela.p+202_Rw2b_0LXC@bss.com.mk,1,xy1nr3sp1vp7r17vtxyg683k,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,2.0,Travel Industry Services
98,792,daniela.p+202_Rw2b_0LXC@bss.com.mk,1,xy1nr3sp1vp7r17vtxyg683k,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f73229,Answer,Which of the following best describes your job function?,Marketing,2.0,Travel Industry Services
99,794,daniela.p+202_Rw2b_0LXC@bss.com.mk,1,xy1nr3sp1vp7r17vtxyg683k,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73291,Answer,Please indicate your company's main area of business,Travel Agent,2.0,Travel Industry Services
100,800,daniela.p+202_Rw2b_0LXC@bss.com.mk,1,xy1nr3sp1vp7r17vtxyg683k,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f7336d,,5c8a78336d41a10da4f7336f,Answer,What role do you play in the purchasing decision making process?,Joint responsibility,2.0,Travel Industry Services
101,801,daniela.p+202_Rw2b_0LXC@bss.com.mk,1,xy1nr3sp1vp7r17vtxyg683k,5c8a78336d41a10da4f7336c,5c8a78336d41a10da4f73372,,5c8a78336d41a10da4f73373,Answer,What is your company's annual purchasing budget?,Up to 1 million rubles,2.0,Travel Industry Services
102,817,aleksandar.dimkov+mitt10_V0iB_2bw2@bss.com.mk,1,3p80z1iocd67z0qvg8ju1cc0,5c8a78336d41a10da4f730fd,5c8a78336d41a10da4f730fe,,5c8a78336d41a10da4f730ff,Answer,Reason for Attending the Event,To source products and services,0.0,Tourism Services
103,824,aleksandar.dimkov+mitt10_V0iB_2bw2@bss.com.mk,1,3p80z1iocd67z0qvg8ju1cc0,5c8a78336d41a10da4f73225,5c8a78336d41a10da4f73227,,5c8a78336d41a10da4f7323b,Answer,Which of the following best describes your job function?,Visa support,0.0,Tourism Services
104,825,aleksandar.dimkov+mitt10_V0iB_2bw2@bss.com.mk,1,3p80z1iocd67z0qvg8ju1cc0,5c8a78336d41a10da4f73252,5c8a78336d41a10da4f73253,,5c8a78336d41a10da4f73290,Answer,Please indicate your company's main area of business,Tour Operator,0.0,Tourism Services
